trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
195,SRTY,2025-05-06 09:50,23.475,23.3799,23.3931,2025-05-06 09:55,-330.8,-0.36%,3943
201,VIXY,2025-05-06 09:54,63.305,63.0509,63.0569,2025-05-06 09:56,-368.92,-0.40%,1475
193,AVDL,2025-05-06 09:50,9.48,9.1738,9.2538,2025-05-06 09:57,-111.57,-2.41%,489
185,EPWK,2025-05-06 09:43,6.05,5.8571,6.24,2025-05-06 09:57,146.08,3.11%,777
199,IQV,2025-05-06 09:54,152.175,151.0429,152.505,2025-05-06 09:57,64.94,0.22%,198
175,KTTA,2025-05-06 09:35,2.46,2.3046,3.0539,2025-05-06 09:57,2285.18,24.06%,3861
194,NVD,2025-05-06 09:50,26.46,26.382,26.5039,2025-05-06 09:58,362.9,0.16%,8653
198,DXCM,2025-05-06 09:53,80.72,80.4976,80.895,2025-05-06 09:59,116.6,0.21%,674
202,MSTX,2025-05-06 09:56,39.46,39.186,39.2032,2025-05-06 09:59,-708.37,-0.66%,2737
203,CEG,2025-05-06 09:57,265.85,264.6361,264.6939,2025-05-06 10:00,-142.45,-0.44%,123
204,LMB,2025-05-06 09:57,110.865,110.0587,110.135,2025-05-06 10:00,-136.15,-0.66%,186
208,NVDS,2025-05-06 10:00,25.06,25.0053,25.0053,2025-05-06 10:01,-466.41,-0.23%,8226
196,UVIX,2025-05-06 09:50,43.9699,43.7219,43.9732,2025-05-06 10:01,7.08,0.00%,5443
205,RRX,2025-05-06 09:58,126.94,126.0385,126.0984,2025-05-06 10:02,-210.07,-0.66%,249
207,MAT,2025-05-06 10:00,16.37,16.3112,16.3149,2025-05-06 10:03,-436.88,-0.35%,7653
206,TSLQ,2025-05-06 09:59,29.32,29.0396,29.0752,2025-05-06 10:05,-1452.24,-0.84%,5884
200,MQ,2025-05-06 09:54,3.8,3.7916,3.8,2025-05-06 10:06,-89.28,-0.05%,44642
213,SES,2025-05-06 10:03,0.8359,0.8252,0.8256,2025-05-06 10:06,-1374.94,-1.47%,112149
192,XMTR,2025-05-06 09:48,30.4,29.7252,30.4701,2025-05-06 10:06,45.33,0.22%,666
215,OVV,2025-05-06 10:05,35.175,35.0914,35.0932,2025-05-06 10:07,-150.39,-0.24%,1794
214,YOU,2025-05-06 10:03,25.455,25.3191,25.46,2025-05-06 10:07,4.97,0.01%,1655
216,NCLH,2025-05-06 10:06,17.1748,17.1382,17.1414,2025-05-06 10:09,-580.17,-0.21%,16393
217,SIBN,2025-05-06 10:07,16.51,16.3862,16.3883,2025-05-06 10:09,-299.78,-0.75%,2423
210,BTU,2025-05-06 10:02,14.085,14.0125,14.0611,2025-05-06 10:10,-268.14,-0.18%,10344
209,USAU,2025-05-06 10:00,10.25,10.0783,10.3,2025-05-06 10:12,83.86,0.47%,1747
220,AVL,2025-05-06 10:09,20.87,20.8053,20.8053,2025-05-06 10:13,-386.53,-0.32%,5795
221,FUBO,2025-05-06 10:10,2.555,2.538,2.56,2025-05-06 10:14,52.94,0.12%,17647
223,WLK,2025-05-06 10:11,78.455,78.3226,78.3356,2025-05-06 10:14,-343.9,-0.15%,2832
219,AES,2025-05-06 10:09,10.3488,10.3335,10.375,2025-05-06 10:16,711.75,0.23%,29411
225,NE,2025-05-06 10:13,23.11,22.98,23.07,2025-05-06 10:17,-169.6,-0.18%,4038
227,PII,2025-05-06 10:15,34.08,33.8906,34.155,2025-05-06 10:17,57.74,0.21%,791
229,CELH,2025-05-06 10:17,33.485,33.2792,33.2792,2025-05-06 10:18,-454.25,-0.62%,2186
226,PINC,2025-05-06 10:13,22.355,22.2552,22.2664,2025-05-06 10:18,-476.34,-0.41%,5260
234,IPI,2025-05-06 10:18,37.7472,37.5058,37.5058,2025-05-06 10:19,-378,-0.64%,1553
235,PRAA,2025-05-06 10:18,13.6,13.5518,13.5518,2025-05-06 10:19,-312.44,-0.37%,6224
212,ERJ,2025-05-06 10:03,45.31,44.9618,45.6048,2025-05-06 10:20,252.09,0.65%,861
238,SLS,2025-05-06 10:19,1.6597,1.64,1.6404,2025-05-06 10:21,-811.06,-1.28%,38071
240,PATK,2025-05-06 10:20,82.4,82.1176,82.1176,2025-05-06 10:22,-226.38,-0.35%,796
239,MTZ,2025-05-06 10:20,145.46,144.8617,144.9045,2025-05-06 10:24,-279.31,-0.38%,501
243,EPWK,2025-05-06 10:24,7.3802,7.0969,7.0969,2025-05-06 10:25,-150.92,-3.87%,529
232,LABU,2025-05-06 10:17,56.27,56.075,56.4683,2025-05-06 10:25,150.95,0.35%,769
224,BORR,2025-05-06 10:12,1.745,1.7152,1.7311,2025-05-06 10:26,-319.84,-0.91%,20134
246,PTIR,2025-05-06 10:25,192.4666,191.2773,191.2773,2025-05-06 10:26,-300.21,-0.62%,252
236,WIX,2025-05-06 10:18,167.06,166.5693,167.43,2025-05-06 10:26,168.54,0.22%,458
242,VAC,2025-05-06 10:23,58.81,58.5227,58.62,2025-05-06 10:29,-150.34,-0.33%,783
231,KLG,2025-05-06 10:17,16.47,16.3805,16.6513,2025-05-06 10:30,600.68,1.09%,3351
249,TDUP,2025-05-06 10:28,5.87,5.813,5.8145,2025-05-06 10:30,-453.59,-0.98%,7894
218,TNDM,2025-05-06 10:08,21.65,21.3961,21.8096,2025-05-06 10:30,186.14,0.73%,1181
230,FRPT,2025-05-06 10:17,80.8,80.6252,81.44,2025-05-06 10:31,821.11,0.79%,1287
251,AXSM,2025-05-06 10:31,117.365,117.0292,117.0292,2025-05-06 10:32,-301.66,-0.29%,893
245,IPGP,2025-05-06 10:25,54.05,53.3756,53.5097,2025-05-06 10:32,-240.8,-1.00%,444
211,LCII,2025-05-06 10:02,81.255,80.2914,82.441,2025-05-06 10:33,183.52,1.46%,155
197,TCMD,2025-05-06 09:51,9.625,9.3198,9.88,2025-05-06 10:34,124.22,2.63%,491
252,ICHR,2025-05-06 10:31,16.8,16.6652,16.6813,2025-05-06 10:35,-268.56,-0.72%,2225
228,GM,2025-05-06 10:16,45.72,45.61,45.88,2025-05-06 10:36,646.22,0.35%,4090
248,ORN,2025-05-06 10:27,7.44,7.3532,7.41,2025-05-06 10:36,-82.94,-0.43%,2592
253,PSN,2025-05-06 10:31,61.65,61.4484,61.4726,2025-05-06 10:36,-333.7,-0.29%,1860
222,RVLV,2025-05-06 10:10,19.33,19.2299,19.4237,2025-05-06 10:36,480.67,0.47%,5244
